Record #,Easting,Northing,Elev,Trend
,(m),(m),(m),(°)
607,372730,5276081,833,118
608,372731,5267406,849,38
609,372753,5256946,835,173
610,372782,5271638,857,15
611,372840,5271856,860,17
612,372846,5241791,772,40
613,372991,5253522,821,111
614,373047,5249578,785,102.8
615,373143,5244565,810,99
616,373162,5275827,834,129
617,373176,5253183,823,98
618,373224,5258376,830,19
619,373256,5261584,847,117
620,373276,5274086,871,30
621,373336,5244443,809,126
622,373388,5274290,870,31
623,373521,5272127,851,120
624,373615,5269467,819,146
625,373642,5269372,817,149
626,373718,5259373,845,72
627,373728,5254855,813,25
628,373812,5255082,811,16
629,373839,5272416,844,35
630,373877,5258679,857,59
631,373906,5270156,848,22
632,373922,5269660,843,113.2
633,373960,5259335,858,92
634,373984,5254971,814,13
635,374002,5255222,817,15
636,374010,5254791,815,21
637,374035,5244595,816,80
638,374191,5270315,841,118
639,374234,5263034,858,115
640,374261,5270096,840,84
641,374318,5255714,815,59
642,374358,5257267,827,156
643,374363,5270046,840,128
644,374375,5270847,841,158
645,374472,5270691,841,113
646,374482,5262977,858,110.4
647,374541,5259459,859,45
648,374595,5257733,846,60
649,374603,5262853,854,107
650,374603,5262853,855,107.5
651,374771,5269875,835,149
652,374840,5248519,790,135
653,374943,5248301,802,172
654,375069,5259662,866,66
655,375121,5261935,849,114
656,375162,5262832,820,64
657,375438,5262613,835,134
658,375449,5269899,877,115
659,375458,5269832,874,131
660,375626,5269763,852,143
661,375658,5264150,841,114.1
662,375667,5268584,828,73
663,375705,5262778,821,67
664,375735,5264132,841,104
665,375737,5259088,852,117
666,375842,5254747,817,9
667,375874,5259037,851,123
668,375891,5264076,841,105.5
669,375895,5264075,841,105.8
670,375917,5262012,823,46
671,375947,5262497,841,52
672,375953,5262417,845,50
673,376021,5269706,849,147
674,376039,5264012,840,136.4
675,376041,5261748,827,153
676,376069,5261649,830,180
677,376118,5263923,840,145.6
678,376176,5264725,832,49.3
679,376190,5258801,847,124
680,376190,5268402,839,78.1
681,376206,5279893,778,130
682,376254,5263151,828,133
683,376263,5264804,831,33.3
684,376298,5263050,826,147
685,376323,5279795,779,125
686,376339,5265193,827,4.1
687,376378,5262941,826,145
688,376400,5263708,821,118.7
689,376402,5262884,823,168
690,376411,5258625,846,122
691,376452,5263793,821,113.8
692,376457,5265109,827,2.9
693,376463,5268938,827,92
694,376485,5269133,826,85
695,376513,5268380,817,107
696,376561,5262694,828,124
697,376621,5263789,823,99.7
698,376642,5268259,833,110
699,376649,5258474,845,120
700,376748,5263891,824,77.6
701,376748,5263891,825,77.6
702,376840,5247391,793,23
703,376856,5262665,825,68
704,376922,5264436,818,13
705,377017,5264407,818,23
706,377065,5247591,796,175
707,377107,5256944,820,7
708,377125,5280770,781,71
709,377134,5257047,822,7
710,377140,5257177,823,13
711,377184,5242514,770,82
712,377233,5257329,826,19
713,377264,5268281,822,115
714,377279,5262685,820,119
715,377283,5257411,827,25
716,377312,5251484,792,144
717,377318,5280667,785,135
718,377345,5257476,827,22
719,377352,5282052,782,72
720,377363,5255856,810,13
721,377374,5251260,794,149
722,377463,5262785,837,118
723,377507,5251713,807,148
724,377598,5268389,817,118
725,377713,5279528,775,118.7
726,377733,5262495,818,97
727,377815,5250833,788,127
728,377840,5265487,812,20
729,377907,5262381,819,109
730,377952,5247348,773,101
731,378117,5259254,841,125
732,378274,5278322,769,81
733,378451,5275139,851,71
734,378504,5275262,848,73
735,378724,5276482,833,66
736,379234,5260199,832,55
737,379710,5280199,771,23.79
738,379843,5280259,773,17.94
739,379876,5281599,780,139
740,380002,5281338,783,155
741,380043,5260741,813,126
742,380066,5281183,780,165
743,380136,5280915,778,169
744,380164,5281089,778,158
745,380187,5281003,779,174
746,380209,5267006,825,120
747,380234,5280522,778,174
748,380395,5268323,812,77
749,380453,5280108,776,132.1
750,380577,5277135,792,121
751,380719,5267268,826,149
752,380782,5256360,814,128
753,380859,5268700,827,102
754,381003,5267065,806,114.5
755,381031,5269730,858,71.8
756,381037,5252488,811,111.7
757,381039,5253116,811,49
758,381048,5266922,825,151
759,381052,5250124,768,109
760,381054,5254635,819,67
761,381106,5252853,807,126
762,381128,5266822,825,129
763,381164,5269795,859,70
764,381188,5252747,810,101
765,381254,5267332,800,34.9
766,381273,5271937,848,39
767,381462,5238615,828,153
768,381508,5271599,810,49.1
769,381562,5266778,819,74
